77 Park Lane	/wiki/77_Park_Lane	1931	Albert de Courville	Dennis Neilson-Terry, Betty Stockfeld	Crime	NULL	UK
Alibi	/wiki/Alibi_(1931_film)	1931	Leslie S. Hiscott	Austin Trevor, Elizabeth Allan	Thriller	NULL	UK
Almost a Divorce	/wiki/Almost_a_Divorce	1931	Arthur Varney-Serrao	Marjorie Binner, Sydney Howard, Kay Hammond	Comedy	NULL	UK
The Bells	/wiki/The_Bells_(1931_film)	1931	Oscar M. Werndoff, Harcourt Templeman	Donald Calthrop, Jane Welsh	Drama	NULL	UK
Black Coffee	/wiki/Black_Coffee_(1931_film)	1931	Leslie S. Hiscott	Austin Trevor, Elizabeth Allan, Richard Cooper	Thriller	NULL	UK
Brown Sugar	/wiki/Brown_Sugar_(1931_film)	1931	Leslie S. Hiscott	Constance Carpenter, Francis Lister, Chili Bouchier	Drama	NULL	UK
The Calendar	/wiki/The_Calendar_(1931_film)	1931	T. Hayes Hunter	Herbert Marshall, Anne Grey, Gordon Harker, Nigel Bruce	Thriller	NULL	UK
Cape Forlorn	/wiki/Cape_Forlorn	1931	E.A. Dupont	Fay Compton, Frank Harvey, Ian Hunter, Donald Calthrop	Drama	NULL	UK
Carnival	/wiki/Carnival_(1931_film)	1931	Herbert Wilcox	Matheson Lang, Chili Bouchier, Joseph Schildkraut, Kay Hammond	Drama	NULL	UK
The Chance of a Night Time	/wiki/The_Chance_of_a_Night_Time	1931	Herbert Wilcox Ralph Lynn	Ralph Lynn, Winnifred Shotter, Sunday Wilshin, Kenneth Kove	Comedy	NULL	UK
City of Song	/wiki/City_of_Song	1931	Carmine Gallone	Jan Kiepura, Betty Stockfeld	Romance	NULL	UK
Contraband Love	/wiki/Contraband_Love	1931	Sidney Morgan	C. Aubrey Smith, Haddon Mason, Rosalinde Fuller	Adventure	NULL	UK
Dangerous Seas	/wiki/Dangerous_Seas	1931	Edward Dryhurst	Sandy Irving, Julie Suedo, Gerald Rawlinson	Drama	NULL	UK
Deadlock	/wiki/Deadlock_(1931_film)	1931	George King	Stewart Rome, Marjorie Hume, Esmond Knight	Thriller	NULL	UK
Down River	/wiki/Down_River	1931	Peter Godfrey	Charles Laughton, Jane Baxter, Harold Huth	Thriller	NULL	UK
Dreyfus	/wiki/Dreyfus_(1931_film)	1931	F.W. Kraemer	Cedric Hardwicke, George Merritt, Garry Marsh	Drama	NULL	UK
East Lynne on the Western Front	/wiki/East_Lynne_on_the_Western_Front	1931	George Pearson	Herbert Mundin, Alf Goddard	Comedy	NULL	UK
The Eternal Feminine	/wiki/The_Eternal_Feminine	1931	Arthur Varney-Serrao	Terence De Marney, Guy Newall, Jill Esmond	Romantic Comedy	NULL	UK
Fascination	/wiki/Fascination_(1931_film)	1931	Miles Mander	Madeleine Carroll, Carl Harbord, Kay Hammond	Romantic Drama	NULL	UK
The Flying Fool	/wiki/The_Flying_Fool_(1931_film)	1931	Walter Summers	Henry Kendall, Benita Hume	Thriller	NULL	UK
The Ghost Train	/wiki/The_Ghost_Train_(1931_film)	1931	Walter Forde	Jack Hulbert, Cicely Courtneidge	Comedy/Mystery	Adapted from Arnold Ridley's The Ghost Train	UK
Glamour	/wiki/Glamour_(1931_film)	1931	Seymour Hicks and Harry Hughes	Seymour Hicks, Ellaline Terriss, Margot Grahame	Romantic Drama	NULL	UK
The Great Gay Road	/wiki/The_Great_Gay_Road_(1931_film)	1931	Sinclair Hill	Stewart Rome, Frank Stanmore	Drama	NULL	UK
Guilt	/wiki/Guilt_(1931_film)	1931	Reginald Fogwell	James Carew, Anne Grey, Harold Huth	Romance	NULL	UK
Hindle Wakes	/wiki/Hindle_Wakes_(1931_film)	1931	Victor Saville	Belle Chrystall, John Stuart	Drama	NULL	UK
Hobson's Choice	/wiki/Hobson%27s_Choice_(1931_film)	1931	Thomas Bentley	James Harcourt, Viola Lyel	Comedy/Drama	NULL	UK
A Honeymoon Adventure	/wiki/A_Honeymoon_Adventure	1931	Maurice Elvey	Benita Hume, Peter Hannen	Crime	NULL	UK
The House Opposite	/wiki/The_House_Opposite_(1931_film)	1931	Walter Summers	Henry Kendall, Frank Stanmore	Crime	NULL	UK
Inquest	/wiki/Inquest_(1931_British_film)	1931	G. B. Samuelson	Campbell Gullan, Mary Glynne	Crime	NULL	UK
Jealousy	/wiki/Jealousy_(1931_film)	1931	G. B. Samuelson	Lilian Oldland, Malcolm Keen, Harold French	Drama	NULL	UK
Keepers of Youth	/wiki/Keepers_of_Youth	1931	Thomas Bentley	Garry Marsh, Ann Todd	Drama	NULL	UK
Let's Love and Laugh	/wiki/Let%27s_Love_and_Laugh	1931	Richard Eichberg	Gene Gerrard, Muriel Angelus	Comedy	NULL	UK
The Lyons Mail	/wiki/The_Lyons_Mail	1931	Arthur Maude	John Martin Harvey, Norah Baring	Mystery	NULL	UK
Madame Guillotine	/wiki/Madame_Guillotine	1931	Reginald Fogwell	Madeleine Carroll, Brian Aherne	Historical	NULL	UK
A Man of Mayfair	/wiki/A_Man_of_Mayfair	1931	Louis Mercanton	Jack Buchanan, Joan Barry, Warwick Ward	Musical Comedy	NULL	UK
The Man They Couldn't Arrest	/wiki/The_Man_They_Couldn%27t_Arrest	1931	T. Hayes Hunter	Hugh Wakefield, Gordon Harker	Drama	NULL	UK
Many Waters	/wiki/Many_Waters_(film)	1931	Milton Rosmer	Lillian Hall-Davis, Arthur Margetson	Romance	NULL	UK
