"Pimpernel" Smith	1941	UK	/wiki/%22Pimpernel%22_Smith
'71	2014	UK	/wiki/%2771_(film)
10 Rillington Place	1971	UK	/wiki/10_Rillington_Place
11 Harrowhouse	1974	UK	/wiki/11_Harrowhouse
12 Years a Slave	2013	UK	/wiki/12_Years_a_Slave_(film)
13 Men and a Gun	1938	UK	/wiki/13_Men_and_a_Gun
1492: Conquest of Paradise	1992	UK	/wiki/1492:_Conquest_of_Paradise
16 Years of Alcohol	2003	UK	/wiki/16_Years_of_Alcohol
18 Minutes	1935	UK	/wiki/18_Minutes
1871	1990	UK	/wiki/1871_(film)
1919	1985	UK	/wiki/1919_(film)
1984	1956	UK	/wiki/1984_(1956_film)
1984	1984	UK	/wiki/Nineteen_Eighty-Four_(film)
20,000 Days on Earth	2014	UK	/wiki/20,000_Days_on_Earth
2001: A Space Odyssey	1968	UK	/wiki/2001:_A_Space_Odyssey_(film)
21 Days	1940	UK	/wiki/21_Days
24 Hour Party People	2002	UK	/wiki/24_Hour_Party_People
27, Memory Lane	2014	UK	/wiki/27,_Memory_Lane_(film)
28 Days Later	2002	UK	/wiki/28_Days_Later
28 Weeks Later	2007	UK	/wiki/28_Weeks_Later
29 Acacia Avenue	1945	UK	/wiki/29_Acacia_Avenue
36 Hours	1953	UK	/wiki/36_Hours_(1953_film)
360	2011	UK	/wiki/360_(film)
4.3.2.1	2010	UK	/wiki/4.3.2.1
44 Inch Chest	2009	UK	/wiki/44_Inch_Chest
45 Years	2015	UK	/wiki/45_Years
49th Parallel	1941	UK	/wiki/49th_Parallel_(film)
633 Squadron	1964	UK	/wiki/633_Squadron
7 Lives	2011	UK	/wiki/7_Lives
77 Park Lane	1931	UK	/wiki/77_Park_Lane
80,000 Suspects	1963	UK	/wiki/80,000_Suspects
84 Charing Cross Road	1987	UK	/wiki/84_Charing_Cross_Road_(film)
8½ Women	1999	UK	/wiki/8%C2%BD_Women
9 Songs	2004	UK	/wiki/9_Songs
A Boy Called Dad	2009	UK	/wiki/A_Boy_Called_Dad_(film)
A Boy, a Girl and a Bike	1949	UK	/wiki/A_Boy,_a_Girl_and_a_Bike
A Bridge Too Far	1977	UK	/wiki/A_Bridge_Too_Far_(1977_film)
A Bunch of Amateurs	2008	UK	/wiki/A_Bunch_of_Amateurs
A Business Affair	1994	UK	/wiki/A_Business_Affair
A Canterbury Tale	1944	UK	/wiki/A_Canterbury_Tale
A Challenge for Robin Hood	1967	UK	/wiki/A_Challenge_for_Robin_Hood
A Chorus of Disapproval	1988	UK	/wiki/A_Chorus_of_Disapproval_(film)
A Circle of Deception	1960	UK	/wiki/A_Circle_of_Deception
A Clockwork Orange	1971	UK	/wiki/A_Clockwork_Orange_(film)
A Cock and Bull Story	2006	UK	/wiki/A_Cock_and_Bull_Story
A Complete History of My Sexual Failures	2008	UK	/wiki/A_Complete_History_of_My_Sexual_Failures
A Congregation of Ghosts	2009	UK	/wiki/A_Congregation_of_Ghosts
A Countess from Hong Kong	1967	UK	/wiki/A_Countess_from_Hong_Kong
A Cry from the Streets	1958	UK	/wiki/A_Cry_from_the_Streets
A Cup of Kindness	1934	UK	/wiki/A_Cup_of_Kindness_(film)
A Dandy in Aspic	1968	UK	/wiki/A_Dandy_in_Aspic
A Dangerous Method	2011	UK	/wiki/A_Dangerous_Method
A Dark Reflection	2015	UK	/wiki/A_Dark_Reflection
A Date with a Dream	1948	UK	/wiki/A_Date_with_a_Dream
A Day at the Beach	1970	UK	/wiki/A_Day_at_the_Beach
A Day in the Death of Joe Egg	1972	UK	/wiki/A_Day_in_the_Death_of_Joe_Egg_(film)
A Defeated People	1946	UK	/wiki/A_Defeated_People
A Doll's House	1973	UK	/wiki/A_Doll%27s_House_(1973_Garland_film)
A Doll's House	1973	UK	/wiki/A_Doll%27s_House_(1973_Losey_film)
A Dozen Summers	2015	UK	/wiki/A_Dozen_Summers
A Fantastic Fear of Everything	2012	UK	/wiki/A_Fantastic_Fear_of_Everything
A Few Best Men	2011	UK	/wiki/A_Few_Best_Men
A Field in England	2013	UK	/wiki/A_Field_in_England
A Fire Has Been Arranged	1935	UK	/wiki/A_Fire_Has_Been_Arranged
A Fish Called Wanda	1988	UK	/wiki/A_Fish_Called_Wanda
A Foreign Field	1993	UK	/wiki/A_Foreign_Field
A French Mistress	1960	UK	/wiki/A_French_Mistress
A Funny Thing Happened on the Way to the Forum	1966	UK	/wiki/A_Funny_Thing_Happened_on_the_Way_to_the_Forum_(film)
A Further Gesture	1997	UK	/wiki/A_Further_Gesture
A Game for Vultures	1979	UK	/wiki/A_Game_for_Vultures
A Girl Must Live	1939	UK	/wiki/A_Girl_Must_Live
A Girl in a Million	1946	UK	/wiki/A_Girl_in_a_Million
A Good Year	2006	UK	/wiki/A_Good_Year
A Handful of Dust	1988	UK	/wiki/A_Handful_of_Dust_(film)
A Hard Day's Night	1964	UK	/wiki/A_Hard_Day%27s_Night_(film)
A High Wind in Jamaica	1965	UK	/wiki/A_High_Wind_in_Jamaica_(film)
A Hill in Korea	1956	UK	/wiki/A_Hill_in_Korea
A Home of Your Own	1964	UK	/wiki/A_Home_of_Your_Own
A Home of Your Own	1967	UK	/wiki/A_Home_of_Your_Own
A Honeymoon Adventure	1931	UK	/wiki/A_Honeymoon_Adventure
A Jolly Bad Fellow	1964	UK	/wiki/A_Jolly_Bad_Fellow
A Kid for Two Farthings	1955	UK	/wiki/A_Kid_for_Two_Farthings_(film)
A Kind of Loving	1962	UK	/wiki/A_Kind_of_Loving_(film)
A King in New York	1957	UK	/wiki/A_King_in_New_York
A Lady Mislaid	1958	UK	/wiki/A_Lady_Mislaid
A Landscape of Lies	2011	UK	/wiki/A_Landscape_of_Lies
