$ aka Dollars	/wiki/$_(film)	1971	Richard Brooks	Warren Beatty, Goldie Hawn	Crime, Comedy	Columbia	USA
$1,000 a Touchdown	/wiki/$1,000_a_Touchdown	1939	James P. Hogan	Joe E. Brown, Martha Raye, Eric Blore, Susan Hayward	Comedy	Paramount	USA
'68	/wiki/%2768_(film)	1988	Steven Kovacs	Shony Alex Braun, Nike Doukas	Drama	NULL	USA
'71	/wiki/%2771_(film)	2014	Yann Demange	Jack O'Connell, Sean Harris, Paul Anderson, Charlie Murphy, David Wilmot, Paul Popplewell	Drama Thriller Historical	StudioCanal UK	UK
'Gator Bait	/wiki/%27Gator_Bait	1974	Beverly Sebastion	Claudia Jennings	Thriller	NULL	USA
'Gator Bait II: Cajun Justice	/wiki/%27Gator_Bait_II:_Cajun_Justice	1988	Beverly Sebastion	Jan Mackenzie, Jocelyn Boudreaux, Rocky Dugas, Keith Gros	Action	sequel to Gator Bait	USA
'Moms' Night Out	/wiki/Moms%27_Night_Out	2014	Andrew Erwin	Sarah Drew Sean Astin Patricia Heaton	Comedy	TriStar Pictures	USA
'Neath Brooklyn Bridge	/wiki/%27Neath_Brooklyn_Bridge	1942	Wallace Fox	Leo Gorcey, Huntz Hall	Comedy	Monogram	USA
'Til There Was You	/wiki/%27Til_There_Was_You	1997	Scott Winant	Jeanne Tripplehorn, Dylan McDermott, Sarah Jessica Parker	Rom com	Paramount	USA
'Til We Meet Again	/wiki/%27Til_We_Meet_Again	1940	Edmund Goulding	Merle Oberon, Pat O'Brien, Geraldine Fitzgerald	Drama	Remake of One Way Passage (1932 film)	USA
'night, Mother	/wiki/%27night,_Mother_(film)	1986	Tom Moore	Sissy Spacek, Anne Bancroft	Drama	from Marsha Norman play	USA
(500) Days of Summer	/wiki/(500)_Days_of_Summer	2009	Marc Webb	Joseph Gordon-Levitt, Zooey Deschanel	Romantic comedy	Fox Searchlight Pictures	USA
...All the Marbles	/wiki/...All_the_Marbles	1981	Robert Aldrich	Peter Falk	Comedy, Drama	Aldrich's final film	USA
...And Justice for All	/wiki/...And_Justice_for_All_(film)	1979	Norman Jewison	Al Pacino, John Forsythe, Christine Lahti, Jack Warden	Drama, Comedy	2 Oscar nominations	USA
...So Goes the Nation	/wiki/...So_Goes_the_Nation	2006	Adam Del Deo, James D. Stern	the 2004 Presidential Election of the United States	Documentary	NULL	USA
...tick...tick...tick...	/wiki/...tick...tick...tick...	1970	Ralph Nelson	Jim Brown, George Kennedy, Fredric March	Action	MGM	USA
.45	/wiki/.45_(film)	2006	Gary Lennon	Milla Jovovich, Angus Macfadyen, Aisha Tyler, Stephen Dorff	Crime drama	NULL	USA
10	/wiki/10_(film)	1979	Blake Edwards	Dudley Moore, Julie Andrews, Bo Derek, Robert Webber, Brian Dennehy, Dee Wallace	Comedy	6 Golden Globe nominations	USA
10 Items or Less	/wiki/10_Items_or_Less_(film)	2006	Brad Silberling	Morgan Freeman, Paz Vega	Comedy	NULL	USA
10 MPH	/wiki/10_MPH	2007	Hunter Weeks	Josh Caldwell's trip across the United States on his Segway HT	Documentary	NULL	USA
10 Rillington Place	/wiki/10_Rillington_Place	1971	Richard Fleischer	Richard Attenborough, John Hurt, Judy Geeson	Crime	NULL	UK
10 Things I Hate About You	/wiki/10_Things_I_Hate_About_You	1999	Gil Junger	Julia Stiles, Heath Ledger, Larisa Oleynik, Joseph Gordon-Levitt, David Krumholtz, Andrew Keegan, Gabrielle Union	Romantic comedy	NULL	USA
10 to Midnight	/wiki/10_to_Midnight	1983	J. Lee Thompson	Charles Bronson, Lisa Eilbacher, Andrew Stevens	Action	Cannon	USA
10,000 BC	/wiki/10,000_BC_(film)	2008	Roland Emmerich	Steven Strait, Camilla Belle, Cliff Curtis	Adventure	Warner Bros. Pictures	USA
100 Rifles	/wiki/100_Rifles	1969	Tom Gries	Burt Reynolds, Raquel Welch, Jim Brown	Western	20th Century Fox	USA
101 Dalmatians	/wiki/101_Dalmatians_(1996_film)	1996	Stephen Herek	Glenn Close, Jeff Daniels, Joely Richardson, Joan Plowright	Comedy	NULL	USA
101 Dalmatians II: Patch's London Adventure	/wiki/101_Dalmatians_II:_Patch%27s_London_Adventure	2003	Jim Kammerud	Barry Bostwick, Jason Alexander, Martin Short	Animated	Direct to DVD	USA
