$1,000 a Touchdown	1939	USA	/wiki/$1,000_a_Touchdown
'68	1988	USA	/wiki/%2768_(film)
'71	2014	UK	/wiki/%2771_(film)
'Gator Bait	1974	USA	/wiki/%27Gator_Bait
'Gator Bait II: Cajun Justice	1988	USA	/wiki/%27Gator_Bait_II:_Cajun_Justice
'Neath Brooklyn Bridge	1942	USA	/wiki/%27Neath_Brooklyn_Bridge
'Til There Was You	1997	USA	/wiki/%27Til_There_Was_You
'Til We Meet Again	1940	USA	/wiki/%27Til_We_Meet_Again
'night, Mother	1986	USA	/wiki/%27night,_Mother_(film)
...All the Marbles	1981	USA	/wiki/...All_the_Marbles
...And Justice for All	1979	USA	/wiki/...And_Justice_for_All_(film)
...tick...tick...tick...	1970	USA	/wiki/...tick...tick...tick...
10	1979	USA	/wiki/10_(film)
10 Items or Less	2006	USA	/wiki/10_Items_or_Less_(film)
10 Rillington Place	1971	UK	/wiki/10_Rillington_Place
10 Things I Hate About You	1999	USA	/wiki/10_Things_I_Hate_About_You
10 to Midnight	1983	USA	/wiki/10_to_Midnight
100 Rifles	1969	USA	/wiki/100_Rifles
101 Dalmatians	1996	USA	/wiki/101_Dalmatians_(1996_film)
101 Dalmatians II: Patch's London Adventure	2003	USA	/wiki/101_Dalmatians_II:_Patch%27s_London_Adventure
10th &amp; Wolf	2006	USA	/wiki/10th_%26_Wolf
11 Harrowhouse	1974	UK	/wiki/11_Harrowhouse
11 Harrowhouse	1974	USA	/wiki/11_Harrowhouse
12 Angry Men	1957	USA	/wiki/12_Angry_Men_(1957_film)
12 Angry Men	1997	USA	/wiki/12_Angry_Men_(1997_film)
12 Rounds	2009	USA	/wiki/12_Rounds_(film)
12 Rounds 2: Reloaded	2013	USA	/wiki/12_Rounds_2:_Reloaded
12 Years a Slave	2013	UK	/wiki/12_Years_a_Slave_(film)
12 Years a Slave	2013	USA	/wiki/12_Years_a_Slave_(film)
12:01 PM	1990	USA	/wiki/12:01_PM_(1990_film)
13 Ghosts	1960	USA	/wiki/13_Ghosts
13 Men and a Gun	1938	UK	/wiki/13_Men_and_a_Gun
13 Rue Madeleine	1947	USA	/wiki/13_Rue_Madeleine
13 Sins	2014	USA	/wiki/13_Sins
1408	2007	USA	/wiki/1408_(film)
1492: Conquest of Paradise	1992	UK	/wiki/1492:_Conquest_of_Paradise
1492: Conquest of Paradise	1992	USA	/wiki/1492:_Conquest_of_Paradise
15 Maiden Lane	1936	USA	/wiki/15_Maiden_Lane
16 Blocks	2006	USA	/wiki/16_Blocks
16 Years of Alcohol	2003	UK	/wiki/16_Years_of_Alcohol
17 Again	2009	USA	/wiki/17_Again_(film)
1776	1972	USA	/wiki/1776_(film)
18 Again!	1988	USA	/wiki/18_Again!
18 Minutes	1935	UK	/wiki/18_Minutes
1871	1990	UK	/wiki/1871_(film)
1915	2015	USA	/wiki/1915_(film)
1919	1985	UK	/wiki/1919_(film)
1941	1979	USA	/wiki/1941_(film)
1969	1988	USA	/wiki/1969_(film)
1984	1956	UK	/wiki/1984_(1956_film)
1984	1984	UK	/wiki/Nineteen_Eighty-Four_(film)
1991: The Year Punk Broke	1992	USA	/wiki/1991:_The_Year_Punk_Broke
2 Days in the Valley	1996	USA	/wiki/2_Days_in_the_Valley
2 Fast 2 Furious	2003	USA	/wiki/2_Fast_2_Furious
2-Headed Shark Attack	2012	USA	/wiki/2-Headed_Shark_Attack
20 Dates	1998	USA	/wiki/20_Dates
20 Feet from Stardom	2013	USA	/wiki/20_Feet_from_Stardom
20 Million Miles to Earth	1957	USA	/wiki/20_Million_Miles_to_Earth
20 Mule Team	1940	USA	/wiki/20_Mule_Team
