24 Hours	/wiki/24_Hours_(1931_film)	1931	Marion Gering	Kay Francis, Miriam Hopkins, Regis Toomey	Drama	NULL	USA
Alexander Hamilton	/wiki/Alexander_Hamilton_(film)	1931	John G. Adolfi	George Arliss, Doris Kenyon, Montagu Love	Drama	NULL	USA
Alice in Wonderland	/wiki/Alice_in_Wonderland_(1931_film)	1931	Bud Pollard	Ruth Gilbert, Leslie King	Fantasy	NULL	USA
An American Tragedy	/wiki/An_American_Tragedy_(film)	1931	Josef von Sternberg	Sylvia Sidney, Phillips Holmes, Frances Dee	Drama	NULL	USA
Annabelle's Affairs	/wiki/Annabelle%27s_Affairs	1931	Alfred L. Werker	Victor McLaglen, Jeanette MacDonald	Comedy	NULL	USA
Arrowsmith	/wiki/Arrowsmith_(film)	1931	John Ford	Ronald Colman, Helen Hayes, Myrna Loy	Drama	NULL	USA
Bachelor Apartment	/wiki/Bachelor_Apartment	1931	Lowell Sherman	Irene Dunne, Lowell Sherman, Mae Murray	Comedy	NULL	USA
Bad Girl	/wiki/Bad_Girl_(1931_film)	1931	Frank Borzage	Sally Eilers, James Dunn, Minna Gombell	Drama	NULL	USA
Bad Sister	/wiki/Bad_Sister_(1931_film)	1931	Hobart Henley	Conrad Nagel, Bette Davis, Humphrey Bogart	Drama	NULL	USA
The Bargain	/wiki/The_Bargain_(1931_film)	1931	Robert Milton	Evalyn Knapp, Lewis Stone, Doris Kenyon	Drama	NULL	USA
Behind Office Doors	/wiki/Behind_Office_Doors	1931	Melville W. Brown	Mary Astor, Ricardo Cortez, Catherine Dale Owen	Drama	NULL	USA
The Big Gamble	/wiki/The_Big_Gamble_(1931_film)	1931	Fred Niblo	William Boyd, James Gleason, June MacCloy	Drama	NULL	USA
The Black Camel	/wiki/The_Black_Camel_(film)	1931	Hamilton MacFadden	Warner Oland, Sally Eilers, Bela Lugosi	Drama, Crime	NULL	USA
Blonde Crazy	/wiki/Blonde_Crazy	1931	Roy Del Ruth	James Cagney, Joan Blondell, Ray Milland	Comedy	NULL	USA
Border Law	/wiki/Border_Law	1931	Louis King	Buck Jones, Jim Mason, Lupita Tovar	Western	NULL	USA
Born to Love	/wiki/Born_to_Love_(film)	1931	Paul L. Stein	Joel McCrea, Constance Bennett, Paul Cavanagh	Drama	NULL	USA
Broadminded	/wiki/Broadminded_(film)	1931	Mervyn LeRoy	Joe E. Brown, Marjorie White, Bela Lugosi	Comedy	NULL	USA
Captain Applejack	/wiki/Captain_Applejack	1931	Hobart Henley	Mary Brian, Kay Strozzi, John Halliday	Drama	NULL	USA
The Champ	/wiki/The_Champ_(1931_film)	1931	King Vidor	Wallace Beery, Jackie Cooper, Irene Rich	Drama	NULL	USA
Charlie Chan Carries On	/wiki/Charlie_Chan_Carries_On_(film)	1931	Hamilton MacFadden	Warner Oland, John Garrick	Mystery	Fox	USA
Chinatown After Dark	/wiki/Chinatown_After_Dark	1931	Stuart Paton	Carmel Myers, Rex Lease, Barbara Kent	Crime, Drama	NULL	USA
Cimarron	/wiki/Cimarron_(1931_film)	1931	Wesley Ruggles	Irene Dunne, Richard Dix, Estelle Taylor	Drama, Western	NULL	USA
City Lights	/wiki/City_Lights	1931	Charles Chaplin	Charles Chaplin, Virginia Cherrill	Comedy, Drama	NULL	USA
City Streets	/wiki/City_Streets_(film)	1931	Rouben Mamoulian	Gary Cooper, Sylvia Sidney, Paul Lukas	Drama, Crime	NULL	USA
The Common Law	/wiki/The_Common_Law_(film)	1931	Paul L. Stein	Constance Bennett, Joel McCrea, Hedda Hopper	Drama	NULL	USA
A Connecticut Yankee	/wiki/A_Connecticut_Yankee_(film)	1931	David Butler	Will Rogers, Maureen O'Sullivan, Myrna Loy	Comedy	NULL	USA
The Criminal Code	/wiki/The_Criminal_Code	1931	Howard Hawks	Walter Huston, Constance Cummings, Boris Karloff	Drama, Crime	NULL	USA
The Cuban Love Song	/wiki/The_Cuban_Love_Song	1931	W. S. Van Dyke	Lupe Vélez, Lawrence Tibbett, Jimmy Durante	Musical	NULL	USA
Daddy Long Legs	/wiki/Daddy_Long_Legs_(1931_film)	1931	Alfred Santell	Janet Gaynor, Warner Baxter, Una Merkel	Comedy	NULL	USA
Daughter of the Dragon	/wiki/Daughter_of_the_Dragon	1931	Lloyd Corrigan	Anna May Wong, Warner Oland, Sessue Hayakawa	Drama	NULL	USA
Dishonored	/wiki/Dishonored_(film)	1931	Josef von Sternberg	Marlene Dietrich, Victor McLaglen, Warner Oland	Drama, War	NULL	USA
Dr. Jekyll and Mr. Hyde	/wiki/Dr._Jekyll_and_Mr._Hyde_(1931_film)	1931	Rouben Mamoulian	Fredric March, Miriam Hopkins, Rose Hobart	Drama, Horror	NULL	USA
Dracula	/wiki/Dracula_(1931_English-language_film)	1931	Tod Browning	Bela Lugosi, Helen Chandler, David Manners	Horror	NULL	USA
The Drums of Jeopardy	/wiki/The_Drums_of_Jeopardy_(1931_film)	1931	George B. Seitz	Warner Oland, June Collyer, Hale Hamilton	Drama, Thriller	NULL	USA
The Easiest Way	/wiki/The_Easiest_Way	1931	Jack Conway	Constance Bennett, Adolphe Menjou, Clark Gable	Drama	NULL	USA
Everything's Rosie	/wiki/Everything%27s_Rosie	1931	Clyde Bruckman	Robert Woolsey, Anita Louise, John Darrow	Comedy	NULL	USA
Expensive Women	/wiki/Expensive_Women	1931	Hobart Henley	Dolores Costello, H. B. Warner	Drama	NULL	USA
Fair Warning	/wiki/Fair_Warning_(film)	1931	Alfred L. Werker	George O'Brien, George Brent, Louise Huntington	Western	NULL	USA
The Finger Points	/wiki/The_Finger_Points	1931	John Francis Dillon	Richard Barthelmess, Fay Wray, Clark Gable	Drama, Crime	NULL	USA
Five and Ten	/wiki/Five_and_Ten	1931	Robert Z. Leonard	Marion Davies, Leslie Howard, Irene Rich	Drama	NULL	USA
Five Star Final	/wiki/Five_Star_Final	1931	Mervyn LeRoy	Edward G. Robinson, H. B. Warner, Marian Marsh	Drama	NULL	USA
Flying High	/wiki/Flying_High_(1931_film)	1931	Charles Reisner	Bert Lahr, Kathryn Crawford, Charles Winninger	Comedy	NULL	USA
Frankenstein	/wiki/Frankenstein_(1931_film)	1931	James Whale	Boris Karloff, Frederick Kerr, Mae Clarke	Horror, Science fiction	NULL	USA
A Free Soul	/wiki/A_Free_Soul	1931	Clarence Brown	Norma Shearer, Lionel Barrymore, Clark Gable	Drama	NULL	USA
The Front Page	/wiki/The_Front_Page_(1931_film)	1931	Lewis Milestone	Pat O'Brien, Adolphe Menjou, Edward Everett Horton	Comedy	NULL	USA
The Gang Buster	/wiki/The_Gang_Buster	1931	A. Edward Sutherland	Jean Arthur, William Boyd	Comedy	NULL	USA
Gentleman's Fate	/wiki/Gentleman%27s_Fate	1931	Mervyn LeRoy	John Gilbert, Louis Wolheim, Leila Hyams	Drama	NULL	USA
Girls About Town	/wiki/Girls_About_Town_(film)	1931	George Cukor	Kay Francis, Lilyan Tashman, Joel McCrea	Comedy	NULL	USA
Goldie	/wiki/Goldie_(1931_film)	1931	Benjamin Stoloff	Spencer Tracy, Jean Harlow	Comedy	NULL	USA
Graft	/wiki/Graft_(1931_film)	1931	Christy Cabanne	Regis Toomey, Boris Karloff, Dorothy Revier	Drama, Thriller	NULL	USA
The Great Lover	/wiki/The_Great_Lover_(1931_film)	1931	Harry Beaumont	Adolphe Menjou, Irene Dunne, Neil Hamilton	Drama	NULL	USA
Grief Street	/wiki/Grief_Street	1931	Richard Thorpe	Barbara Kent, John Holland, Dorothy Christy	Romantic crime/mystery	NULL	USA
Guilty Hands	/wiki/Guilty_Hands	1931	W. S. Van Dyke	Lionel Barrymore, Kay Francis, Polly Moran	Drama, Crime	NULL	USA
Hard Hombre	/wiki/Hard_Hombre	1931	Otto Brower	Hoot Gibson, Lina Basquette	Western	NULL	USA
Hell Divers	/wiki/Hell_Divers	1931	George W. Hill	Wallace Beery, Clark Gable, Conrad Nagel	Drama, Adventure	NULL	USA
Honor Among Lovers	/wiki/Honor_Among_Lovers	1931	Dorothy Arzner	Claudette Colbert, Fredric March, Ginger Rogers	Drama	NULL	USA
Huckleberry Finn	/wiki/Huckleberry_Finn_(1931_film)	1931	Norman Taurog	Jackie Coogan, Junior Durkin	Comedy	NULL	USA
Hush Money	/wiki/Hush_Money_(1931_film)	1931	Sidney Lanfield	Joan Bennett, Myrna Loy, George Raft	Comedy	NULL	USA
I Take This Woman	/wiki/I_Take_This_Woman_(1931_film)	1931	Marion Gering	Gary Cooper, Carole Lombard	Romance	NULL	USA
Illicit	/wiki/Illicit_(film)	1931	Archie Mayo	Barbara Stanwyck, James Rennie	Drama	NULL	USA
Indiscreet	/wiki/Indiscreet_(1931_film)	1931	Leo McCarey	Gloria Swanson, Ben Lyon, Monroe Owsley	Drama, Musical	NULL	USA
Iron Man	/wiki/Iron_Man_(1931_film)	1931	Tod Browning	Lew Ayres, Robert Armstrong, Jean Harlow	Drama	NULL	USA
June Moon	/wiki/June_Moon_(film)	1931	A. Edward Sutherland	Frances Dee, June MacCloy, Wynne Gibson	Comedy	NULL	USA
Just a Gigolo	/wiki/Just_a_Gigolo_(1931_film)	1931	Jack Conway	William Haines, Irene Purcell, Ray Milland	Comedy	NULL	USA
Kiki	/wiki/Kiki_(1931_film)	1931	Sam Taylor	Mary Pickford, Reginald Denny	Romantic comedy	NULL	USA
Kiss Me Again	/wiki/Kiss_Me_Again_(1931_film)	1931	William A. Seiter	Edward Everett Horton, June Collyer, Walter Pidgeon	Comedy	NULL	USA
Ladies' Man	/wiki/Ladies%27_Man_(1931_film)	1931	Lothar Mendes	William Powell, Carole Lombard, Kay Francis	Drama	NULL	USA
Ladies of the Big House	/wiki/Ladies_of_the_Big_House	1931	Marion Gering	Sylvia Sidney, Gene Raymond, Wynne Gibson	Drama	NULL	USA
The Lady Who Dared	/wiki/The_Lady_Who_Dared	1931	William Beaudine	Billie Dove, Sidney Blackmer	Drama	NULL	USA
The Last Flight	/wiki/The_Last_Flight_(1931_film)	1931	William Dieterle	Richard Barthelmess, David Manners	Drama	NULL	USA
Laugh and Get Rich	/wiki/Laugh_and_Get_Rich	1931	Gregory La Cava	Hugh Herbert, Edna May Oliver, Dorothy Lee	Comedy	NULL	USA
The Lawyer's Secret	/wiki/The_Lawyer%27s_Secret	1931	Louis J. Gasnier	Richard Arlen, Jean Arthur, Clive Brook	Drama	NULL	USA
Little Caesar	/wiki/Little_Caesar_(film)	1931	Mervyn LeRoy	Edward G. Robinson, Douglas Fairbanks, Jr., Glenda Farrell	Drama, Crime	NULL	USA
Lonely Wives	/wiki/Lonely_Wives_(film)	1931	Russell Mack	Edward Everett Horton, Laura La Plante, Esther Ralston	Comedy	NULL	USA
The Mad Genius	/wiki/The_Mad_Genius	1931	Michael Curtiz	John Barrymore, Marian Marsh, Boris Karloff	Drama, Thriller	NULL	USA
The Maltese Falcon	/wiki/The_Maltese_Falcon_(1931_film)	1931	Roy Del Ruth	Ricardo Cortez, Bebe Daniels, Una Merkel	Drama	NULL	USA
Manhattan Parade	/wiki/Manhattan_Parade	1931	Lloyd Bacon	Charles Butterworth, Winnie Lightner	Comedy	NULL	USA
Mata Hari	/wiki/Mata_Hari_(1931_film)	1931	George Fitzmaurice	Greta Garbo, Ramón Novarro, Lionel Barrymore	Drama	NULL	USA
Men in Her Life	/wiki/Men_in_Her_Life	1931	William Beaudine	Lois Moran, Charles Bickford	Drama	NULL	USA
Men of Chance	/wiki/Men_of_Chance	1931	George Archainbaud	Ricardo Cortez, Mary Astor, Ralph Ince	Drama, Crime	NULL	USA
